run,accounts,provingTime,memoryUsage
0,4,358,147
1,4,367,147
2,4,585,147
3,4,775,147
4,4,838,147
5,4,861,147
6,4,846,147
7,4,845,147
8,4,860,147
9,4,839,147
10,4,820,147
11,4,822,147
12,4,813,147
13,4,799,147
14,4,812,147
15,4,799,147
16,4,808,147
17,4,807,147
18,4,811,147
19,4,798,147
20,4,791,147
21,4,799,147
22,4,789,147
23,4,802,147
24,4,825,147
25,4,778,147
26,4,806,147
27,4,797,147
28,4,785,147
29,4,795,147
30,4,792,147
31,4,790,147
32,4,795,147
33,4,777,147
34,4,775,147
35,4,800,147
36,4,799,147
37,4,787,147
38,4,777,147
39,4,791,147
40,4,781,147
41,4,785,147
42,4,795,147
43,4,887,147
44,4,887,147
45,4,826,147
46,4,812,147
47,4,822,147
48,4,806,147
49,4,817,147
