run,accounts,provingTime,memoryUsage
0,64,206,69
1,64,203,69
2,64,199,69
3,64,202,69
4,64,201,69
5,64,202,69
6,64,208,69
7,64,202,69
8,64,210,69
9,64,203,69
10,64,231,69
11,64,341,69
12,64,421,69
13,64,453,69
14,64,465,69
15,64,486,69
16,64,472,69
17,64,467,69
18,64,460,69
19,64,480,69
20,64,477,69
21,64,457,69
22,64,454,69
23,64,450,69
24,64,462,69
25,64,452,69
26,64,440,69
27,64,449,69
28,64,449,69
29,64,446,69
30,64,452,69
31,64,441,69
32,64,440,69
33,64,455,69
34,64,449,69
35,64,447,69
36,64,456,69
37,64,446,69
38,64,443,69
39,64,441,69
40,64,438,69
41,64,442,69
42,64,438,69
43,64,437,69
44,64,439,69
45,64,439,69
46,64,435,69
47,64,450,69
48,64,438,69
49,64,441,69
