run,accounts,provingTime,memoryUsage
0,128,324,75
1,128,411,75
2,128,447,75
3,128,459,75
4,128,459,75
5,128,456,75
6,128,455,75
7,128,466,75
8,128,449,75
9,128,470,75
10,128,445,75
11,128,453,75
12,128,438,75
13,128,435,75
14,128,437,75
15,128,450,75
16,128,442,75
17,128,441,75
18,128,447,75
19,128,438,75
20,128,441,75
21,128,435,75
22,128,441,75
23,128,431,75
24,128,458,75
25,128,446,75
26,128,436,75
27,128,429,75
28,128,431,75
29,128,430,75
30,128,431,75
31,128,439,75
32,128,429,75
33,128,430,75
34,128,428,75
35,128,440,75
36,128,438,75
37,128,430,75
38,128,436,75
39,128,434,75
40,128,460,75
41,128,436,75
42,128,438,75
43,128,436,75
44,128,437,75
45,128,430,75
46,128,436,75
47,128,435,75
48,128,433,75
49,128,441,75
