run,accounts,provingTime,memoryUsage
0,16,183,59
1,16,186,59
2,16,215,59
3,16,306,59
4,16,378,59
5,16,425,59
6,16,439,59
7,16,456,59
8,16,457,59
9,16,453,59
10,16,437,59
11,16,471,59
12,16,437,59
13,16,446,59
14,16,423,59
15,16,443,59
16,16,446,59
17,16,446,59
18,16,429,59
19,16,440,59
20,16,435,59
21,16,445,59
22,16,436,59
23,16,429,59
24,16,431,59
25,16,412,59
26,16,434,59
27,16,421,59
28,16,428,59
29,16,426,59
30,16,423,59
31,16,418,59
32,16,437,59
33,16,414,59
34,16,427,59
35,16,422,59
36,16,410,59
37,16,414,59
38,16,429,59
39,16,419,59
40,16,414,59
41,16,418,59
42,16,419,59
43,16,428,59
44,16,420,59
45,16,418,59
46,16,432,59
47,16,399,59
48,16,425,59
49,16,416,59
