run,accounts,provingTime,memoryUsage
0,16,2591,458
1,16,2577,458
2,16,2490,457
3,16,2488,458
4,16,2451,458
5,16,2459,458
6,16,2429,458
7,16,2444,457
8,16,2427,457
9,16,2414,458
10,16,2412,458
11,16,2424,457
12,16,2412,458
13,16,2437,458
14,16,2414,458
15,16,2424,458
16,16,2630,458
17,16,2453,457
18,16,2431,458
19,16,2419,458
20,16,2414,458
21,16,2436,458
22,16,2421,458
23,16,2440,458
24,16,2420,458
25,16,2421,458
26,16,2428,458
27,16,2413,458
28,16,2423,458
29,16,2440,458
30,16,2440,457
31,16,2436,458
32,16,2412,458
33,16,2426,458
34,16,2423,457
35,16,2418,457
36,16,2412,458
37,16,2435,458
38,16,2439,458
39,16,2406,458
40,16,2398,457
41,16,2449,458
42,16,2405,457
43,16,2431,458
44,16,2422,457
45,16,2413,457
46,16,2405,457
47,16,2435,458
48,16,2424,458
49,16,2425,457
