run,accounts,provingTime,memoryUsage
0,32,4621,890
1,32,4595,890
2,32,4500,890
3,32,4475,890
4,32,4551,890
5,32,4464,890
6,32,4482,890
7,32,4520,890
8,32,5081,890
9,32,4501,890
10,32,4495,890
11,32,4473,890
12,32,4568,890
13,32,4525,890
14,32,4468,890
15,32,4465,890
16,32,4490,890
17,32,4478,890
18,32,4449,890
19,32,4486,890
20,32,4486,890
21,32,4520,890
22,32,4458,890
23,32,4476,890
24,32,4454,890
25,32,4463,890
26,32,4471,890
27,32,4472,890
28,32,4441,890
29,32,4476,890
30,32,4504,890
31,32,4462,890
32,32,4482,890
33,32,4485,890
34,32,4491,890
35,32,4498,890
36,32,4469,890
37,32,4513,890
38,32,4452,890
39,32,4463,890
40,32,4489,890
41,32,4469,890
42,32,4491,890
43,32,4469,890
44,32,4479,890
45,32,4469,890
46,32,4491,890
47,32,4464,890
48,32,4525,890
49,32,4477,890
