run,accounts,provingTime,memoryUsage
0,256,35776,8493
1,256,34816,8493
2,256,34716,8493
3,256,34713,8493
4,256,34975,8493
5,256,36603,8493
6,256,34778,8493
7,256,34813,8493
8,256,34811,8493
9,256,35018,8493
10,256,35036,8493
11,256,34923,8493
12,256,34904,8493
13,256,36629,8493
14,256,34908,8493
15,256,34950,8493
16,256,35020,8493
17,256,35373,8493
18,256,35066,8493
19,256,34984,8493
20,256,34870,8493
21,256,36419,8493
22,256,35123,8493
23,256,35091,8493
24,256,35074,8493
25,256,34889,8493
26,256,35069,8493
27,256,35014,8493
28,256,35436,8493
29,256,35951,8493
30,256,35085,8493
31,256,35064,8493
32,256,35027,8493
33,256,35613,8493
34,256,35113,8493
35,256,35011,8493
36,256,35058,8493
37,256,35075,8493
38,256,40156,8493
39,256,35370,8493
40,256,35198,8493
41,256,35410,8493
42,256,35376,8493
43,256,35366,8493
44,256,35295,8493
45,256,35407,8493
46,256,35572,8493
47,256,38930,8493
48,256,35376,8493
49,256,35579,8493
