run,accounts,provingTime,memoryUsage
0,64,8572,1777
1,64,8541,1777
2,64,8491,1777
3,64,8591,1777
4,64,8512,1777
5,64,8546,1777
6,64,8567,1777
7,64,8533,1777
8,64,8570,1777
9,64,8555,1777
10,64,8534,1777
11,64,8543,1777
12,64,8578,1777
13,64,8554,1777
14,64,8606,1777
15,64,8572,1777
16,64,8607,1777
17,64,8567,1777
18,64,8587,1777
19,64,8591,1777
20,64,8583,1777
21,64,8636,1777
22,64,8561,1777
23,64,8613,1777
24,64,8593,1777
25,64,8625,1777
26,64,8562,1777
27,64,8568,1777
28,64,8557,1777
29,64,8535,1777
30,64,10023,1777
31,64,8686,1777
32,64,8542,1777
33,64,8607,1777
34,64,8556,1777
35,64,8558,1777
36,64,8550,1777
37,64,8556,1777
38,64,8639,1777
39,64,8543,1777
40,64,8579,1777
41,64,8585,1777
42,64,8736,1777
43,64,8537,1777
44,64,8556,1777
45,64,8533,1777
46,64,8522,1777
47,64,8620,1777
48,64,8551,1777
49,64,8571,1777
