run,accounts,provingTime,memoryUsage
0,128,16925,3727
1,128,16967,3727
2,128,17993,3727
3,128,16787,3727
4,128,16921,3727
5,128,17058,3727
6,128,16857,3727
7,128,16900,3727
8,128,16837,3727
9,128,16817,3727
10,128,16899,3727
11,128,16973,3727
12,128,16878,3727
13,128,16880,3727
14,128,16936,3727
15,128,16903,3727
16,128,17087,3727
17,128,16861,3727
18,128,16889,3727
19,128,18844,3727
20,128,16887,3727
21,128,16921,3727
22,128,16873,3727
23,128,16902,3727
24,128,16900,3727
25,128,16951,3727
26,128,16973,3727
27,128,16996,3727
28,128,16915,3727
29,128,16902,3727
30,128,16960,3727
31,128,16938,3727
32,128,16943,3727
33,128,16896,3727
34,128,16965,3727
35,128,16886,3727
36,128,16937,3727
37,128,16896,3727
38,128,16822,3727
39,128,17294,3727
40,128,16957,3727
41,128,16893,3727
42,128,17241,3727
43,128,16828,3727
44,128,18385,3727
45,128,16864,3727
46,128,16864,3727
47,128,17102,3727
48,128,16966,3727
49,128,16957,3727
