run,accounts,provingTime,memoryUsage
0,32,185,63
1,32,185,63
2,32,203,63
3,32,195,63
4,32,192,63
5,32,194,63
6,32,195,63
7,32,208,63
8,32,231,63
9,32,317,63
10,32,398,63
11,32,448,63
12,32,492,63
13,32,477,63
14,32,469,63
15,32,459,63
16,32,452,63
17,32,464,63
18,32,618,63
19,32,502,63
20,32,457,63
21,32,459,63
22,32,460,63
23,32,450,63
24,32,444,63
25,32,447,63
26,32,441,63
27,32,441,63
28,32,454,63
29,32,444,63
30,32,448,63
31,32,432,63
32,32,441,63
33,32,436,63
34,32,441,63
35,32,439,63
36,32,444,63
37,32,435,63
38,32,460,63
39,32,446,63
40,32,443,63
41,32,435,63
42,32,449,63
43,32,432,63
44,32,431,63
45,32,450,63
46,32,432,63
47,32,443,63
48,32,436,63
49,32,430,63
